NETBEHEERDER	NETGEBIED	STRAATNAAM	POSTCODE_VAN	POSTCODE_TOT	WOONPLAATS	LANDCODE	PRODUCTSOORT	VERBRUIKSSEGMENT	AANSLUITINGEN_AANTAL	LEVERINGSRICHTING_PERC	FYSIEKE_STATUS_PERC	SOORT_AANSLUITING_PERC	SOORT_AANSLUITING	SJV_GEMIDDELD	SJV_LAAG_TARIEF_PERC	SLIMME_METER_PERC
"8716902000001"	"Enduris Netgebied"	"Poststraat"	"4301AA"	"4301AA"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	14	100,00	100,00	85,71	"3x25"	9442	78,57	0,00
"8717127750009"	"GAS Gastransport Services (GASUNIE)"	"Poststraat"	"4301AA"	"4301AA"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	14	100,00	100,00	50,00	"G4"	3976	0,00	0,00
"8716902000001"	"Enduris Netgebied"	"Poststraat"	"4301AB"	"4301AD"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	34	100,00	100,00	64,71	"3x25"	9284	41,18	0,00
"8717127750009"	"GAS Gastransport Services (GASUNIE)"	"Poststraat"	"4301AB"	"4301AD"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	32	100,00	100,00	71,88	"G4"	2881	0,00	0,00
"8716902000001"	"Enduris Netgebied"	"Korte St. Janstraat"	"4301AE"	"4301AE"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	17	100,00	100,00	82,35	"3x25"	3086	41,18	0,00
"8717127750009"	"GAS Gastransport Services (GASUNIE)"	"Korte St. Janstraat"	"4301AE"	"4301AE"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	18	100,00	94,44	83,33	"G4"	1837	0,00	0,00
"8716902000001"	"Enduris Netgebied"	"Fonteine"	"4301AG"	"4301AH"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	31	100,00	100,00	64,52	"1x35"	3242	32,26	6,45
"8717127750009"	"GAS Gastransport Services (GASUNIE)"	"Fonteine"	"4301AG"	"4301AH"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	31	100,00	100,00	100,00	"G4"	1237	0,00	6,45
"8716902000001"	"Enduris Netgebied"	"Lange St. Janstraat"	"4301AJ"	"4301AJ"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	17	100,00	100,00	64,71	"1x35"	1735	23,53	0,00
"8717127750009"	"GAS Gastransport Services (GASUNIE)"	"Lange St. Janstraat"	"4301AJ"	"4301AJ"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	16	100,00	100,00	100,00	"G4"	1337	0,00	0,00
"8716902000001"	"Enduris Netgebied"	"Lange St. Janstraat"	"4301AK"	"4301AL"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	23	100,00	100,00	52,17	"3x25"	2969	21,74	0,00
"8717127750009"	"GAS Gastransport Services (GASUNIE)"	"Lange St. Janstraat"	"4301AK"	"4301AL"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	21	100,00	100,00	100,00	"G4"	1438	0,00	0,00
"8716902000001"	"Enduris Netgebied"	"Krepelstraat"	"4301AM"	"4301AM"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	10	100,00	100,00	80,00	"3x25"	3063	40,00	0,00
"8717127750009"	"GAS Gastransport Services (GASUNIE)"	"Krepelstraat"	"4301AM"	"4301AM"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	10	100,00	100,00	100,00	"G4"	1840	0,00	0,00
"8716902000001"	"Enduris Netgebied"	"Zevenhuisstraat"	"4301AN"	"4301AR"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	27	100,00	100,00	55,56	"3x25"	3015	37,04	3,70
"8717127750009"	"GAS Gastransport Services (GASUNIE)"	"Zevenhuisstraat"	"4301AN"	"4301AR"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	25	100,00	100,00	88,00	"G4"	1684	0,00	4,00
"8716902000001"	"Enduris Netgebied"	"Hoofdpoortstraat"	"4301AS"	"4301AS"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	14	100,00	92,86	42,86	"1x35"	6263	28,57	7,14
"8717127750009"	"GAS Gastransport Services (GASUNIE)"	"Hoofdpoortstraat"	"4301AS"	"4301AS"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	12	100,00	100,00	83,33	"G4"	2436	0,00	8,33
"8716902000001"	"Enduris Netgebied"	"Hoofdpoortstraat"	"4301AT"	"4301AT"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	16	100,00	100,00	50,00	"3x25"	4712	37,50	0,00
"8717127750009"	"GAS Gastransport Services (GASUNIE)"	"Hoofdpoortstraat"	"4301AT"	"4301AT"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	14	100,00	100,00	92,86	"G4"	1986	0,00	0,00
"8716902000001"	"Enduris Netgebied"	"Hoofdpoortstraat"	"4301AV"	"4301AV"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	18	100,00	100,00	66,67	"1x35"	2157	27,78	5,56
"8717127750009"	"GAS Gastransport Services (GASUNIE)"	"Hoofdpoortstraat"	"4301AV"	"4301AV"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	17	100,00	100,00	100,00	"G4"	1367	0,00	5,88
"8716902000001"	"Enduris Netgebied"	"Breedstraat"	"4301AW"	"4301AW"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	14	100,00	100,00	71,43	"1x35"	2343	28,57	0,00
"8717127750009"	"GAS Gastransport Services (GASUNIE)"	"Breedstraat"	"4301AW"	"4301AW"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	14	100,00	100,00	100,00	"G4"	1328	0,00	0,00
"8716902000001"	"Enduris Netgebied"	"Breedstraat"	"4301AX"	"4301AX"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	11	100,00	100,00	81,82	"3x25"	3030	27,27	9,09
"8717127750009"	"GAS Gastransport Services (GASUNIE)"	"Breedstraat"	"4301AX"	"4301AX"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	11	100,00	100,00	90,91	"G4"	1937	0,00	9,09
"8716902000001"	"Enduris Netgebied"	"Schuttershofstraat"	"4301AZ"	"4301AZ"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	16	100,00	100,00	62,50	"1x35"	2054	50,00	12,50
"8717127750009"	"GAS Gastransport Services (GASUNIE)"	"Schuttershofstraat"	"4301AZ"	"4301AZ"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	16	100,00	100,00	100,00	"G4"	1150	0,00	12,50
"8716902000001"	"Enduris Netgebied"	"Schuttershofstraat"	"4301BA"	"4301BA"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	14	100,00	92,86	64,29	"1x35"	2440	35,71	0,00
"8717127750009"	"GAS Gastransport Services (GASUNIE)"	"Schuttershofstraat"	"4301BA"	"4301BA"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	14	100,00	92,86	100,00	"G4"	1264	0,00	0,00
"8716902000001"	"Enduris Netgebied"	"Ravestraat"	"4301BB"	"4301BB"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	11	100,00	100,00	90,91	"1x35"	2921	45,45	0,00
"8717127750009"	"GAS Gastransport Services (GASUNIE)"	"Ravestraat"	"4301BB"	"4301BB"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	11	100,00	100,00	90,91	"G4"	1466	0,00	0,00
"8716902000001"	"Enduris Netgebied"	"Ravestraat"	"4301BC"	"4301BC"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	19	100,00	100,00	63,16	"1x35"	1966	26,32	0,00
"8717127750009"	"GAS Gastransport Services (GASUNIE)"	"Ravestraat"	"4301BC"	"4301BC"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	18	100,00	100,00	100,00	"G4"	1514	0,00	0,00
"8716902000001"	"Enduris Netgebied"	"Gat van W N Westen"	"4301BD"	"4301BD"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	19	100,00	100,00	52,63	"3x25"	1861	21,05	0,00
"8717127750009"	"GAS Gastransport Services (GASUNIE)"	"Gat van W N Westen"	"4301BD"	"4301BD"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	18	100,00	100,00	94,44	"G4"	1217	0,00	0,00
"8716902000001"	"Enduris Netgebied"	"Rozemarijnstraat"	"4301BE"	"4301BG"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	22	100,00	100,00	50,00	"1x35"	10026	40,91	0,00
"8717127750009"	"GAS Gastransport Services (GASUNIE)"	"Rozemarijnstraat"	"4301BE"	"4301BG"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	19	100,00	100,00	94,74	"G4"	1395	0,00	0,00
"8716902000001"	"Enduris Netgebied"	"Bagijnestraat"	"4301BH"	"4301BH"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	19	100,00	100,00	52,63	"1x35"	2433	42,11	5,26
"8717127750009"	"GAS Gastransport Services (GASUNIE)"	"Bagijnestraat"	"4301BH"	"4301BH"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	18	100,00	100,00	100,00	"G4"	1364	0,00	5,56
"8716902000001"	"Enduris Netgebied"	"Witte IJestraat"	"4301BJ"	"4301BK"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	62	100,00	100,00	80,65	"1x35"	2586	22,58	0,00
"8717127750009"	"GAS Gastransport Services (GASUNIE)"	"Witte IJestraat"	"4301BJ"	"4301BK"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	61	100,00	100,00	96,72	"G4"	1291	0,00	0,00
"8716902000001"	"Enduris Netgebied"	"Pieterseliestraat"	"4301BL"	"4301BL"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	21	100,00	100,00	76,19	"1x35"	2635	23,81	0,00
"8717127750009"	"GAS Gastransport Services (GASUNIE)"	"Pieterseliestraat"	"4301BL"	"4301BL"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	20	100,00	100,00	100,00	"G4"	1307	0,00	0,00
"8716902000001"	"Enduris Netgebied"	"Wevershoek"	"4301BM"	"4301BM"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	17	100,00	100,00	76,47	"1x35"	2145	5,88	0,00
"8717127750009"	"GAS Gastransport Services (GASUNIE)"	"Wevershoek"	"4301BM"	"4301BM"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	17	100,00	100,00	100,00	"G4"	1362	0,00	0,00
"8716902000001"	"Enduris Netgebied"	"Wevershoek"	"4301BN"	"4301BN"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	11	100,00	100,00	54,55	"1x35"	3222	45,45	0,00
"8717127750009"	"GAS Gastransport Services (GASUNIE)"	"Wevershoek"	"4301BN"	"4301BN"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	11	100,00	100,00	100,00	"G4"	1350	0,00	0,00
"8716902000001"	"Enduris Netgebied"	"Raamstraat"	"4301BP"	"4301BP"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	11	100,00	100,00	90,91	"3x25"	8772	27,27	0,00
"8717127750009"	"GAS Gastransport Services (GASUNIE)"	"Raamstraat"	"4301BP"	"4301BP"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	11	100,00	100,00	81,82	"G4"	2947	0,00	0,00
"8716902000001"	"Enduris Netgebied"	"Regenboogstraat"	"4301BR"	"4301BS"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	21	100,00	100,00	57,14	"3x25"	3561	14,29	0,00
"8717127750009"	"GAS Gastransport Services (GASUNIE)"	"Regenboogstraat"	"4301BR"	"4301BS"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	22	100,00	95,45	95,45	"G4"	1599	0,00	0,00
"8716902000001"	"Enduris Netgebied"	"Regenboogstraat"	"4301BT"	"4301BT"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	16	100,00	100,00	62,50	"1x35"	2888	37,50	0,00
