NETBEHEERDER	NETGEBIED	STRAATNAAM	POSTCODE_VAN	POSTCODE_TOT	WOONPLAATS	LANDCODE	PRODUCTSOORT	VERBRUIKSSEGMENT	AANSLUITINGEN_AANTAL	LEVERINGSRICHTING_PERC	FYSIEKE_STATUS_PERC	SOORT_AANSLUITING_PERC	SOORT_AANSLUITING	SJV_GEMIDDELD	SJV_LAAG_TARIEF_PERC	SLIMME_METER_PERC
"8716902000001"	"Enduris Netgebied"	"Oudelandseweg"	"3253LP"	"4301AA"	"OUDDORP ZH"	"NL"	"ELK"	"KVB"	16	100,00	93,75	81,25	"3x25"	8196	75,00	18,75
"8717127750009"	"GAS Gastransport Services (GASUNIE)"	"Poststraat"	"4301AA"	"4301AA"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	14	100,00	100,00	50,00	"G4"	3651	0,00	14,29
"8716902000001"	"Enduris Netgebied"	"Poststraat"	"4301AB"	"4301AD"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	34	97,06	94,12	64,71	"3x25"	7500	61,76	29,41
"8717127750009"	"GAS Gastransport Services (GASUNIE)"	"Poststraat"	"4301AB"	"4301AD"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	32	100,00	100,00	71,88	"G4"	2617	0,00	28,13
"8716902000001"	"Enduris Netgebied"	"Korte St. Janstraat"	"4301AE"	"4301AE"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	17	94,12	100,00	88,24	"3x25"	2957	58,82	17,65
"8717127750009"	"GAS Gastransport Services (GASUNIE)"	"Korte St. Janstraat"	"4301AE"	"4301AE"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	17	100,00	100,00	94,12	"G4"	1594	0,00	17,65
"8716902000001"	"Enduris Netgebied"	"Fonteine"	"4301AG"	"4301AH"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	33	100,00	96,97	60,61	"1x35"	2495	48,48	27,27
"8717127750009"	"GAS Gastransport Services (GASUNIE)"	"Fonteine"	"4301AG"	"4301AH"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	31	100,00	100,00	100,00	"G4"	1352	0,00	29,03
"8716902000001"	"Enduris Netgebied"	"Lange St. Janstraat"	"4301AJ"	"4301AJ"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	16	100,00	100,00	62,50	"1x35"	1708	31,25	6,25
"8717127750009"	"GAS Gastransport Services (GASUNIE)"	"Lange St. Janstraat"	"4301AJ"	"4301AJ"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	16	100,00	100,00	100,00	"G4"	1183	0,00	6,25
"8716902000001"	"Enduris Netgebied"	"Lange St. Janstraat"	"4301AK"	"4301AK"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	10	90,00	100,00	60,00	"1x35"	2211	20,00	10,00
"8717127750009"	"GAS Gastransport Services (GASUNIE)"	"Lange St. Janstraat"	"4301AK"	"4301AL"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	21	100,00	100,00	100,00	"G4"	1398	0,00	9,52
"8716902000001"	"Enduris Netgebied"	"Krepelstraat"	"4301AL"	"4301AL"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	13	92,31	100,00	61,54	"3x25"	2480	38,46	7,69
"8716902000001"	"Enduris Netgebied"	"Krepelstraat"	"4301AM"	"4301AM"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	10	90,00	100,00	80,00	"3x25"	2764	60,00	30,00
"8717127750009"	"GAS Gastransport Services (GASUNIE)"	"Krepelstraat"	"4301AM"	"4301AM"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	10	100,00	100,00	100,00	"G4"	1753	0,00	30,00
"8716902000001"	"Enduris Netgebied"	"Zevenhuisstraat"	"4301AN"	"4301AR"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	26	96,15	100,00	57,69	"3x25"	3015	53,85	23,08
"8717127750009"	"GAS Gastransport Services (GASUNIE)"	"Zevenhuisstraat"	"4301AN"	"4301AR"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	25	100,00	100,00	88,00	"G4"	1756	0,00	20,00
"8716902000001"	"Enduris Netgebied"	"Hoofdpoortstraat"	"4301AS"	"4301AS"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	17	100,00	94,12	41,18	"3x25"	6647	29,41	29,41
"8717127750009"	"GAS Gastransport Services (GASUNIE)"	"Hoofdpoortstraat"	"4301AS"	"4301AS"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	12	100,00	100,00	83,33	"G4"	2050	0,00	25,00
"8716902000001"	"Enduris Netgebied"	"Hoofdpoortstraat"	"4301AT"	"4301AT"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	14	100,00	100,00	50,00	"3x25"	2038	50,00	21,43
"8717127750009"	"GAS Gastransport Services (GASUNIE)"	"Hoofdpoortstraat"	"4301AT"	"4301AT"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	14	100,00	100,00	92,86	"G4"	1296	0,00	21,43
"8716902000001"	"Enduris Netgebied"	"Hoofdpoortstraat"	"4301AV"	"4301AV"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	18	100,00	100,00	55,56	"1x35"	1737	44,44	22,22
"8717127750009"	"GAS Gastransport Services (GASUNIE)"	"Hoofdpoortstraat"	"4301AV"	"4301AV"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	17	100,00	100,00	100,00	"G4"	1146	0,00	23,53
"8716902000001"	"Enduris Netgebied"	"Breedstraat"	"4301AW"	"4301AW"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	14	100,00	100,00	71,43	"1x35"	2399	64,29	35,71
"8717127750009"	"GAS Gastransport Services (GASUNIE)"	"Breedstraat"	"4301AW"	"4301AW"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	14	100,00	100,00	100,00	"G4"	1079	0,00	35,71
"8716902000001"	"Enduris Netgebied"	"Breedstraat"	"4301AX"	"4301AX"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	11	90,91	100,00	81,82	"3x25"	2115	36,36	18,18
"8717127750009"	"GAS Gastransport Services (GASUNIE)"	"Breedstraat"	"4301AX"	"4301AX"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	11	100,00	100,00	90,91	"G4"	1525	0,00	18,18
"8716902000001"	"Enduris Netgebied"	"Schuttershofstraat"	"4301AZ"	"4301AZ"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	16	100,00	100,00	62,50	"1x35"	2017	62,50	25,00
"8717127750009"	"GAS Gastransport Services (GASUNIE)"	"Schuttershofstraat"	"4301AZ"	"4301AZ"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	16	100,00	100,00	100,00	"G4"	1186	0,00	25,00
"8716902000001"	"Enduris Netgebied"	"Schuttershofstraat"	"4301BA"	"4301BA"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	14	100,00	100,00	64,29	"1x35"	2174	42,86	14,29
"8717127750009"	"GAS Gastransport Services (GASUNIE)"	"Schuttershofstraat"	"4301BA"	"4301BA"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	14	100,00	92,86	100,00	"G4"	1169	0,00	7,14
"8716902000001"	"Enduris Netgebied"	"Ravestraat"	"4301BB"	"4301BB"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	11	90,91	100,00	90,91	"1x35"	2465	63,64	45,45
"8717127750009"	"GAS Gastransport Services (GASUNIE)"	"Ravestraat"	"4301BB"	"4301BB"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	11	100,00	100,00	100,00	"G4"	1310	0,00	45,45
"8716902000001"	"Enduris Netgebied"	"Ravestraat"	"4301BC"	"4301BC"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	19	94,74	100,00	57,89	"1x35"	1881	47,37	26,32
"8717127750009"	"GAS Gastransport Services (GASUNIE)"	"Ravestraat"	"4301BC"	"4301BC"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	18	100,00	100,00	100,00	"G4"	1420	0,00	22,22
"8716902000001"	"Enduris Netgebied"	"Gat van W N Westen"	"4301BD"	"4301BD"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	20	90,00	100,00	55,00	"3x25"	1915	50,00	40,00
"8717127750009"	"GAS Gastransport Services (GASUNIE)"	"Gat van W N Westen"	"4301BD"	"4301BD"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	20	100,00	100,00	95,00	"G4"	1129	0,00	40,00
"8716902000001"	"Enduris Netgebied"	"Rozemarijnstraat"	"4301BE"	"4301BG"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	21	100,00	100,00	52,38	"1x35"	2162	71,43	33,33
"8717127750009"	"GAS Gastransport Services (GASUNIE)"	"Rozemarijnstraat"	"4301BE"	"4301BG"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	19	100,00	100,00	94,74	"G4"	1492	0,00	36,84
"8716902000001"	"Enduris Netgebied"	"Bagijnestraat"	"4301BH"	"4301BH"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	19	89,47	94,74	52,63	"1x35"	2102	68,42	36,84
"8717127750009"	"GAS Gastransport Services (GASUNIE)"	"Bagijnestraat"	"4301BH"	"4301BH"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	18	100,00	94,44	100,00	"G4"	1425	0,00	38,89
"8716902000001"	"Enduris Netgebied"	"Witte IJestraat"	"4301BJ"	"4301BK"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	62	98,39	100,00	80,65	"1x35"	1885	33,87	12,90
"8717127750009"	"GAS Gastransport Services (GASUNIE)"	"Witte IJestraat"	"4301BJ"	"4301BK"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	61	100,00	100,00	96,72	"G4"	1049	0,00	11,48
"8716902000001"	"Enduris Netgebied"	"Pieterseliestraat"	"4301BL"	"4301BL"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	21	100,00	100,00	71,43	"1x35"	2349	47,62	23,81
"8717127750009"	"GAS Gastransport Services (GASUNIE)"	"Pieterseliestraat"	"4301BL"	"4301BL"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	20	100,00	100,00	100,00	"G4"	1035	0,00	20,00
"8716902000001"	"Enduris Netgebied"	"Wevershoek"	"4301BM"	"4301BM"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	18	100,00	100,00	72,22	"1x35"	2432	27,78	22,22
"8717127750009"	"GAS Gastransport Services (GASUNIE)"	"Wevershoek"	"4301BM"	"4301BM"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	18	100,00	94,44	100,00	"G4"	1130	0,00	16,67
"8716902000001"	"Enduris Netgebied"	"Wevershoek"	"4301BN"	"4301BN"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	11	90,91	100,00	54,55	"1x35"	2871	54,55	18,18
